id,first_name,middle_name,last_name,gender,billing_address,shipping_address,credit_score,sales_region,activity_tier
39,Landon,Allison,GUERRERO,M,"6057 Jessica Field East Bobby, Louisiana 11539","8926 Dickerson Mount East Mark, DE 47964",491,Louisiana,1.0
40,Cindy,Chance,ROSE,F,"90867 Steven Ramp Jasonside, Maine 61250","90867 Steven Ramp Jasonside, Maine 61250",413,Maine,2.0
41,Aubrey,Barbara,GOLDBERG,F,"6669 Jackson Field New Eric, Delaware 42778","6669 Jackson Field New Eric, Delaware 42778",419,Delaware,2.0
42,Jacob,Andrew,BROWN,M,"12137 Mayo Street West Eric, Tennessee 15933","5393 Tracy Well West Jennifer, AK 60897",559,Tennessee,4.0
43,Xavier,Jaden,CODY,M,"3500 Walter Corners Suite 002 Kevinshire, New York 70482","3500 Walter Corners Suite 002 Kevinshire, New York 70482",592,New York,1.0
44,Ashlynn,Allison,VASQUEZ,F,"11084 Richard Groves Apt. 288 Davidfurt, New Mexico 89926","11084 Richard Groves Apt. 288 Davidfurt, New Mexico 89926",498,New Mexico,2.0
45,Megan,Brooke,KINARD,F,"576 Allison Bridge East David, Illinois 96525","576 Allison Bridge East David, Illinois 96525",675,Illinois,2.0
46,Lauren,Wendy,BARNES,F,"7143 Crystal Lake Apt. 211 South Keith, Alabama 02674","7143 Crystal Lake Apt. 211 South Keith, Alabama 02674",499,Alabama,1.0
47,Mario,Clay,SIMMONS,M,"3826 Matthew Fall Port Angel, Florida 45765","3826 Matthew Fall Port Angel, Florida 45765",648,Florida,2.0
48,Tristan,Tommy,MOORE,M,"6126 Cooper Tunnel Suite 502 Elliottshire, Kansas 16381","6126 Cooper Tunnel Suite 502 Elliottshire, Kansas 16381",343,Kansas,1.0
49,Lauren,Taylor,RODRIGUES,F,"747 Hensley Spring Laurenfurt, Colorado 49032","747 Hensley Spring Laurenfurt, Colorado 49032",636,Colorado,2.0
50,Makenzie,Pamela,TYLER,F,"24220 Robin Stream Apt. 848 West Johnberg, Ohio 93713","24220 Robin Stream Apt. 848 West Johnberg, Ohio 93713",300,Ohio,2.0
51,Lydia,Spencer,SAVOIE,F,"3253 Newman Square Suite 938 East Dylan, New Mexico 37659","3253 Newman Square Suite 938 East Dylan, New Mexico 37659",676,New Mexico,1.0
52,Davin,Anaya,SHRIVER,M,"13743 Brian Knolls Powersmouth, Alaska 48407","Holt, Wagner and Lee 3325 James Walk Powersmouth, Alaska 48407",640,Alaska,1.0
53,Stephanie,Jeffrey,ALLEN,F,"9410 Blair Terrace New Elizabeth, Maine 11296","9410 Blair Terrace New Elizabeth, Maine 11296",655,Maine,2.0
54,Mariah,Jack,BOYD,F,"117 Holmes Port Port Melanieberg, Minnesota 51681","117 Holmes Port Port Melanieberg, Minnesota 51681",660,Minnesota,1.0
55,Matthew,Carlie,PHILLIPS,M,"329 Hughes Estates West Kathleenview, Hawaii 35352","329 Hughes Estates West Kathleenview, Hawaii 35352",327,Hawaii,4.0
56,Alejandro,Brittany,MORGAN,M,"2415 Judith Cape East Olivia, South Carolina 95811","2415 Judith Cape East Olivia, South Carolina 95811",650,South Carolina,1.0
57,Daniel,Bria,MORGAN,M,"03685 Chavez Crest Goldenstad, Maryland 43428","03685 Chavez Crest Goldenstad, Maryland 43428",332,Maryland,1.0
58,Emma,Serena,TURNER,F,"6438 John Mission West Natashaville, Colorado 74334","6438 John Mission West Natashaville, Colorado 74334",786,Colorado,1.0
59,Giana,Skyler,TYLER,F,"121 Kristin Circle North Gary, Wyoming 88235","121 Kristin Circle North Gary, Wyoming 88235",622,Wyoming,1.0
60,Gerardo,Tori,CAUSEY,M,"716 Lisa Springs Heatherburgh, Wyoming 12215","206 Trevor Hills Apt. 185 South Cassandratown, KS 87415-9022",457,Wyoming,1.0
61,Elijah,Jesse,TERRY,M,"5423 Patricia Lock Suite 892 Christopherchester, West Virginia 56969","5423 Patricia Lock Suite 892 Christopherchester, West Virginia 56969",655,West Virginia,1.0
62,Dakota,Alexa,HANSEN,M,"01264 Oneill Key Turnerville, Minnesota 76713","Weiss, Carr and Turner 5044 Angela Rest Turnerville, Minnesota 76713",590,Minnesota,1.0
63,Kennedi,Darian,BOLTON,F,"3221 Mason Pine Apt. 899 North Jeffreystad, West Virginia 33471","62925 Katelyn Neck Apt. 300 New Emily, SD 21618",393,West Virginia,2.0
64,Sofia,Macy,LAWRENCE,F,"4228 May Expressway Suite 073 Meredithton, Alabama 04787","8913 Johnson Pine Suite 574 Hartmouth, SC 30255-8682",407,Alabama,2.0
65,Jerome,Annabelle,COWELL,M,"3349 Gomez Mountains South Kelly, Alabama 31933","3349 Gomez Mountains South Kelly, Alabama 31933",399,Alabama,1.0
66,Michelle,London,BENNETT,F,"99196 Mathis Vista South Dylan, Nebraska 01113","99196 Mathis Vista South Dylan, Nebraska 01113",696,Nebraska,1.0
67,Kyle,Amelia,SINGLETON,M,"8950 Dana Field South Heathershire, Texas 29826","8950 Dana Field South Heathershire, Texas 29826",446,Texas,4.0
68,James,Jack,JONES,M,"611 Carey Underpass Suite 731 West Natasha, Louisiana 03304","611 Carey Underpass Suite 731 West Natasha, Louisiana 03304",457,Louisiana,2.0
69,Destiny,Dustin,LOGAN,F,"305 Tracy Ranch Suite 461 Lindaland, Wyoming 31645","305 Tracy Ranch Suite 461 Lindaland, Wyoming 31645",362,Wyoming,2.0
70,Saul,Mckinley,HAYES,M,"9730 Tracey View Suite 230 Hughesport, New Hampshire 22835","9730 Tracey View Suite 230 Hughesport, New Hampshire 22835",471,New Hampshire,1.0
71,Aidan,Emilie,HENDERSON,M,"2743 Cook Mountain East Joannashire, South Dakota 42346","2743 Cook Mountain East Joannashire, South Dakota 42346",437,South Dakota,1.0
72,Marcos,Cecelia,TURNER,M,"116 Lee Pass Suite 659 Danielchester, Wisconsin 93957","116 Lee Pass Suite 659 Danielchester, Wisconsin 93957",609,Wisconsin,1.0
73,Kendra,Ezequiel,SHIELDS,F,"0217 Diaz Radial Port Joanna, Michigan 64568","0217 Diaz Radial Port Joanna, Michigan 64568",540,Michigan,1.0
74,Jesus,Parker,WILSON,M,"257 Tyler Glen Suite 090 Port Danaton, Arizona 57005","257 Tyler Glen Suite 090 Port Danaton, Arizona 57005",579,Arizona,1.0
75,Alexis,Lauren,BAILEY,F,"4394 Donna Courts Suite 617 Port Caseyland, New Hampshire 08838","4394 Donna Courts Suite 617 Port Caseyland, New Hampshire 08838",477,New Hampshire,1.0
76,Andre,Kenya,MILLER,M,"5546 Whitney Crossroad Suite 975 Lake Sandraport, Tennessee 39784","5546 Whitney Crossroad Suite 975 Lake Sandraport, Tennessee 39784",495,Tennessee,2.0
77,Walter,Juliet,MCINTOSH,M,"89777 Eric Lakes Jeffreyville, North Dakota 27861","89777 Eric Lakes Jeffreyville, North Dakota 27861",780,North Dakota,1.0
78,Lucas,Serenity,CASE,M,"491 Durham Ville Richardsberg, Connecticut 75237",Unit 4229 Box 5907 DPO AE 88521,333,Connecticut,1.0
79,Allen,Sabrina,BIGGS,M,"4232 King Crossroad South Gabrielland, Ohio 10736","4232 King Crossroad South Gabrielland, Ohio 10736",625,Ohio,4.0
80,Valeria,Madison,LEFTWICH,F,"990 Mcdonald Bypass Cowanborough, Vermont 91147","990 Mcdonald Bypass Cowanborough, Vermont 91147",785,Vermont,1.0
81,Matthew,Trace,HEATH,M,"565 Reed Island Apt. 565 West Bethland, Texas 80984","565 Reed Island Apt. 565 West Bethland, Texas 80984",671,Texas,2.0
82,Ashlynn,Easton,CARTY,F,"1695 Hudson Mount Apt. 915 North Ashley, Washington 82857","Quinn Ltd 4577 Cynthia Ville North Ashley, Washington 82857",439,Washington,2.0
83,Haley,Holden,USHER,F,"9554 Janice Wall Apt. 412 Lake Josephchester, Tennessee 40643","6853 Barry Lodge Jenniferview, AR 46856",480,Tennessee,1.0
84,Amari,Mollie,THOMPSON,M,"5853 Richard Fort Trevorside, South Dakota 23974","5853 Richard Fort Trevorside, South Dakota 23974",339,South Dakota,4.0
85,Isabella,Aileen,GREEN,F,"3183 Carrie Court North William, Ohio 07142","3183 Carrie Court North William, Ohio 07142",736,Ohio,1.0
86,Kristopher,Brendan,BAGGETT,M,"4272 Ross Groves Lake Kimberly, Rhode Island 53345","4272 Ross Groves Lake Kimberly, Rhode Island 53345",385,Rhode Island,4.0
87,Tristan,Jace,PENNINGTON,M,"5978 Kim Mount Suite 019 Howardshire, West Virginia 81107","5978 Kim Mount Suite 019 Howardshire, West Virginia 81107",521,West Virginia,1.0
88,Noah,Tess,JOHNSON,M,"57141 Garza Road New Joseburgh, North Carolina 44355","57141 Garza Road New Joseburgh, North Carolina 44355",495,North Carolina,4.0
89,Sydney,Dylan,MORGAN,F,"105 Joshua Mews Apt. 595 North Bethchester, Utah 47592","105 Joshua Mews Apt. 595 North Bethchester, Utah 47592",555,Utah,1.0
90,Camryn,Paula,SMITH,F,"1494 Porter Views Danielhaven, Florida 99204","1494 Porter Views Danielhaven, Florida 99204",607,Florida,1.0
91,Estrella,Sandra,OAKES,F,"6912 Taylor Oval South Ashley, Virginia 15758","71711 Johnson Manor Lake Steven, MN 62259-9578",685,Virginia,1.0
92,Aria,Edgar,HAWKINS,F,"4552 Joshua Hill Suite 262 South Arieltown, Wyoming 24260","4552 Joshua Hill Suite 262 South Arieltown, Wyoming 24260",309,Wyoming,1.0
93,Ethan,Barrett,RODRIGUEZ,M,"28744 Kevin Drive Suite 985 North Perry, Virginia 67951","28744 Kevin Drive Suite 985 North Perry, Virginia 67951",569,Virginia,1.0
94,Christian,Stephanie,TORRES,M,"5132 Adams Streets Lake Brandyhaven, Hawaii 77573","5132 Adams Streets Lake Brandyhaven, Hawaii 77573",756,Hawaii,2.0
95,Audrey,Francisco,HAWKINS,F,"973 Scott Valley Joelstad, Louisiana 43393","973 Scott Valley Joelstad, Louisiana 43393",566,Louisiana,1.0
96,Adriana,Aniya,STEWART,F,"798 Robinson Rapids Apt. 278 New Williamhaven, Virginia 35692","Wilson-Santiago 8396 Johnson Ports New Williamhaven, Virginia 35692",779,Virginia,1.0
97,Brayden,Siena,PITTS,M,"07991 Amber Expressway Apt. 800 Collinsstad, Florida 89717","07991 Amber Expressway Apt. 800 Collinsstad, Florida 89717",359,Florida,1.0
98,Oscar,Judith,NORMAN,M,"8466 Haley Turnpike Apt. 489 Campbellborough, Maryland 63732","8466 Haley Turnpike Apt. 489 Campbellborough, Maryland 63732",704,Maryland,1.0
99,Michael,Gabriella,MERCER,M,"740 Timothy Pike Lake David, Missouri 58243","740 Timothy Pike Lake David, Missouri 58243",573,Missouri,1.0
100,Olivia,Estrella,JOHNSON,F,"95792 Brandy Ferry New Victoriamouth, Arizona 60551","95792 Brandy Ferry New Victoriamouth, Arizona 60551",718,Arizona,4.0
101,Jeremiah,Kennedi,FOURNIER,M,"38614 Michael Streets Apt. 648 Port Nicholashaven, Illinois 40833","38614 Michael Streets Apt. 648 Port Nicholashaven, Illinois 40833",663,Illinois,4.0
102,Veronica,Jay,WILSON,F,"5335 Arnold Loop Apt. 254 North Amberchester, Wisconsin 92247","5335 Arnold Loop Apt. 254 North Amberchester, Wisconsin 92247",300,Wisconsin,1.0
103,Kendall,Khloe,HAYES,M,"7057 Stuart Point Apt. 293 East Ryan, Hawaii 19968","7057 Stuart Point Apt. 293 East Ryan, Hawaii 19968",561,Hawaii,1.0
104,Abigail,Cadence,HOY,F,"37623 Nicole Ridge Suite 925 South Christian, Montana 66629","37623 Nicole Ridge Suite 925 South Christian, Montana 66629",491,Montana,1.0
105,Anya,Armani,BOLES,F,"25554 Tran Pine Suite 727 Ericberg, Massachusetts 19459","25554 Tran Pine Suite 727 Ericberg, Massachusetts 19459",411,Massachusetts,2.0
106,Cayden,Uriel,PERKINS,M,"95655 Ruiz River Ruizstad, Wyoming 90676","95655 Ruiz River Ruizstad, Wyoming 90676",693,Wyoming,1.0
107,Adam,Salma,JACKSON,M,"11138 Robin Mountains Apt. 762 Andrewshaven, Michigan 77700","62147 Mejia Burg New Gregside, FL 24231-6399",592,Michigan,1.0
108,Zoey,Melvin,STARKS,F,"19083 Martin Neck Suite 300 Lake Kevinbury, Maine 05001","19083 Martin Neck Suite 300 Lake Kevinbury, Maine 05001",717,Maine,1.0
109,Cameron,Maddox,NOEL,M,"312 Brenda Village Suite 867 Reedhaven, Oklahoma 74619","312 Brenda Village Suite 867 Reedhaven, Oklahoma 74619",747,Oklahoma,1.0
110,London,Israel,WARFIELD,F,"775 Oneal Burg Suite 106 New Douglas, Michigan 46951","775 Oneal Burg Suite 106 New Douglas, Michigan 46951",746,Michigan,1.0
111,Dylan,Lola,JACKSON,M,"209 Guerra Glens Kelseyside, Vermont 89641","Gonzales, Wells and Galloway 9281 Brandon Pike Kelseyside, Vermont 89641",552,Vermont,2.0
112,Matthew,Kolby,TORRES,M,"0965 Shane Mills Lake Alexander, Delaware 24966","0965 Shane Mills Lake Alexander, Delaware 24966",401,Delaware,1.0
113,Carson,Makenna,ADAMS,M,"985 Sutton Turnpike Apt. 052 West Anafurt, Washington 39228","985 Sutton Turnpike Apt. 052 West Anafurt, Washington 39228",711,Washington,1.0
114,Alfredo,Arianna,PEREZ,M,"2802 Brooks Wells Suite 236 Ochoamouth, West Virginia 72630","2802 Brooks Wells Suite 236 Ochoamouth, West Virginia 72630",496,West Virginia,1.0
115,Leonardo,Erin,BURG,M,"75729 Brandi Oval South Jenniferfurt, North Dakota 44300","Lee Inc 415 Buchanan Islands South Jenniferfurt, North Dakota 44300",673,North Dakota,1.0
116,Lola,Garrett,BROWN,F,"21143 Barnes Corners Suite 243 West Linda, Missouri 51590","21143 Barnes Corners Suite 243 West Linda, Missouri 51590",580,Missouri,1.0
117,Samantha,Mckayla,BROWN,F,"0527 Jennifer Islands Apt. 654 East Christiehaven, Minnesota 80823","0527 Jennifer Islands Apt. 654 East Christiehaven, Minnesota 80823",408,Minnesota,4.0
118,Ibrahim,Marvin,NICHOLS,M,"859 Erik Point Dunlapmouth, Oregon 07464","859 Erik Point Dunlapmouth, Oregon 07464",601,Oregon,1.0
119,Leah,Imani,PALMER,F,"51506 Gonzalez Springs Suite 914 Lake Nicole, New York 93147","2586 Tamara Forge Jacobsburgh, PW 35917-4520",615,New York,2.0
120,Jacob,Malcolm,BRYANT,M,"6764 Ortega Loop Suite 641 Lauraside, Kentucky 15657","6764 Ortega Loop Suite 641 Lauraside, Kentucky 15657",686,Kentucky,1.0
121,Nyla,Brooks,HERNANDEZ,F,"359 Zimmerman Fall Suite 018 West Carolberg, Tennessee 19022","359 Zimmerman Fall Suite 018 West Carolberg, Tennessee 19022",721,Tennessee,2.0
122,Michael,Byron,CAMPBELL,M,"3948 Robert Skyway Apt. 595 Edwardsville, North Dakota 79041","3948 Robert Skyway Apt. 595 Edwardsville, North Dakota 79041",655,North Dakota,1.0
123,Kristian,Rosa,SMITH,M,"600 Gray Spring Apt. 488 Brianmouth, Nevada 41474","04692 Rebecca Ports Anthonystad, NY 14869-5322",654,Nevada,4.0
124,Rylan,Rylee,ESTRELLA,M,"71632 Brianna Wall Apt. 088 Silvafurt, Ohio 53285","71632 Brianna Wall Apt. 088 Silvafurt, Ohio 53285",513,Ohio,4.0
125,Isabella,Johnny,DOWNING,F,"314 Beck Skyway Wintersbury, Nebraska 80343","314 Beck Skyway Wintersbury, Nebraska 80343",460,Nebraska,2.0
126,Katelyn,Eloise,HERRIN,F,"558 Smith Fords Suite 680 Kelseyhaven, New Hampshire 09751","558 Smith Fords Suite 680 Kelseyhaven, New Hampshire 09751",300,New Hampshire,1.0
127,Jazmin,Anne,SIMMONS,F,"200 Johnny Lane Suite 943 Kylechester, North Dakota 11587","200 Johnny Lane Suite 943 Kylechester, North Dakota 11587",474,North Dakota,1.0
128,Autumn,Archer,COPPER,F,"4208 Smith Islands North Roberthaven, Delaware 36537","4208 Smith Islands North Roberthaven, Delaware 36537",425,Delaware,4.0
129,Alexander,Jayda,PHILLIPS,M,"1402 Joseph Keys Kyleburgh, Hawaii 64894","1402 Joseph Keys Kyleburgh, Hawaii 64894",314,Hawaii,1.0
130,Liliana,Kaylynn,DAVIS,F,"7114 Ramirez Road Apt. 945 New Brandonburgh, Mississippi 48653","31248 Chen Islands North Cynthia, TN 07781",706,Mississippi,1.0
131,Summer,Blaine,POWELL,F,"6235 Flores Courts Port Kelly, South Carolina 53403","6235 Flores Courts Port Kelly, South Carolina 53403",447,South Carolina,2.0
132,Ryan,Zoe,JENSEN,M,"4069 Collins Lock Port Matthew, Wyoming 39535","342 Evans Roads Cynthiaville, FL 54563",467,Wyoming,1.0
133,Bianca,Adrianna,PHELPS,F,"07700 Eric Islands Suite 812 Keithland, New Jersey 72796","07700 Eric Islands Suite 812 Keithland, New Jersey 72796",728,New Jersey,1.0
134,Ariel,Gia,KELLOGG,F,"66575 Gonzalez Terrace East Erikfort, Nevada 63361","325 Michael Dale Vanessafort, NE 93188-3008",616,Nevada,1.0
135,Jordan,Karter,SMITH,M,"1953 Frye Parkways Suite 915 West Ryan, North Carolina 23465","1953 Frye Parkways Suite 915 West Ryan, North Carolina 23465",770,North Carolina,4.0
136,Emiliano,Lila,PERSAUD,M,"444 Carlson Summit Apt. 545 Wrightview, South Carolina 32687","444 Carlson Summit Apt. 545 Wrightview, South Carolina 32687",654,South Carolina,1.0
137,Landyn,Danika,SMITH,M,"9861 William Branch Suite 152 East Erik, Connecticut 19862","9861 William Branch Suite 152 East Erik, Connecticut 19862",786,Connecticut,2.0
138,Timothy,Arya,CROSS,M,"55931 Morton Grove Suite 281 South Christopher, Wisconsin 15002","6236 Edward Bypass Suite 508 Brettville, MO 16310-2257",504,Wisconsin,2.0
139,Ramon,Zion,HOPPER,M,"1694 Edward Squares New Valerieland, Minnesota 96897","1694 Edward Squares New Valerieland, Minnesota 96897",416,Minnesota,2.0
140,Alexandra,Miles,WAGNER,F,"9976 Gibson Ports Apt. 288 South Rickyport, Virginia 87226","5151 David Villages West Ryan, NH 39461",737,Virginia,1.0
141,Hailey,Ansley,EVANS,F,"214 Roberts Summit Waltermouth, Mississippi 60280","214 Roberts Summit Waltermouth, Mississippi 60280",428,Mississippi,4.0
142,Sabrina,Noah,KEEN,F,"87827 Peters Springs Apt. 795 Lake Caitlin, New Jersey 13651","87827 Peters Springs Apt. 795 Lake Caitlin, New Jersey 13651",403,New Jersey,1.0
143,Ashley,Tyrese,THOMPSON,F,"884 Underwood Ridge Apt. 989 Gonzaleschester, California 49684","884 Underwood Ridge Apt. 989 Gonzaleschester, California 49684",742,California,1.0
144,Olivia,Preston,COTTLE,F,"94642 Russo Estate Apt. 789 South Cassandrachester, Michigan 11959","94642 Russo Estate Apt. 789 South Cassandrachester, Michigan 11959",591,Michigan,1.0
145,Lucia,Warren,MITCHELL,F,"5490 Henry Walk Apt. 831 Andreaville, Rhode Island 62862","Osborne PLC 2541 Sandra Circles Andreaville, Rhode Island 62862",728,Rhode Island,2.0
146,Taylor,Alexandra,CHURCH,F,"42351 Clark Bypass Apt. 283 Lake Cassandra, Iowa 37673","42351 Clark Bypass Apt. 283 Lake Cassandra, Iowa 37673",755,Iowa,2.0
147,Chelsea,Alexia,CARRERO,F,"421 Danielle Underpass Lake Davidburgh, Idaho 32177","Leblanc, Tran and Price 11305 Matthew Crossing Lake Davidburgh, Idaho 32177",452,Idaho,1.0
148,Jose,Wayne,CRAIG,M,"3167 Jensen Harbor Boydside, New Mexico 52413","3167 Jensen Harbor Boydside, New Mexico 52413",640,New Mexico,1.0
149,Isaac,Jessica,BENTON,M,"3960 Martinez Trail Apt. 537 West Keith, New Hampshire 16417","3960 Martinez Trail Apt. 537 West Keith, New Hampshire 16417",437,New Hampshire,1.0
150,Wesley,Caiden,ALLEN,M,"80590 Christopher Wall Apt. 582 West Brandon, Vermont 09939","006 Austin Road East Stevenhaven, LA 90158-0934",687,Vermont,1.0
151,Josue,Branden,ORTEGA,M,"64614 Brown Viaduct Tateside, New Jersey 74856","64614 Brown Viaduct Tateside, New Jersey 74856",508,New Jersey,1.0
152,Olivia,Dexter,HEATH,F,"5211 Cynthia View Port Amybury, Florida 75817","5211 Cynthia View Port Amybury, Florida 75817",434,Florida,2.0
153,Baylee,Tess,OSULLIVAN,F,"69990 Austin Avenue Apt. 665 New Michaelburgh, Mississippi 84931","69990 Austin Avenue Apt. 665 New Michaelburgh, Mississippi 84931",794,Mississippi,1.0
154,Matthew,Phillip,MCCURRY,M,"12943 Benjamin Shore North Patriciatown, South Carolina 23535","12943 Benjamin Shore North Patriciatown, South Carolina 23535",713,South Carolina,4.0
155,Timothy,Martha,MILLER,M,"9365 Anderson Track Matthewmouth, Louisiana 54932","9365 Anderson Track Matthewmouth, Louisiana 54932",413,Louisiana,1.0
156,Hannah,Ashton,MOORE,F,"528 Isaiah Dale Brooksfurt, Hawaii 61701","528 Isaiah Dale Brooksfurt, Hawaii 61701",666,Hawaii,1.0
157,Dylan,Luis,LAVIN,M,"55733 Francisco Vista South Barbarashire, Montana 01122","55733 Francisco Vista South Barbarashire, Montana 01122",301,Montana,1.0
